country_id,country,url,start_date,end_date
115,Bassas da India,https://data.humdata.org/dataset/wfp-food-prices-for-india,1/15/1994,2/15/2022
264,Viet Nam,https://data.humdata.org/dataset/wfp-food-prices-for-viet-nam,1/15/2008,2/15/2022
